time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-22T00:03:15.343Z,7.139,-72.9542,170.68,4.4,mb,28,57,1.245,0.4,us,us6000p6wi,2024-11-22T00:17:50.040Z,"7 km S of Tona, Colombia",earthquake,8.15,9.67,0.096,31,reviewed,us,us
2024-11-21T23:13:53.250Z,31.656,-104.307,6.1255,2.7,ml,37,58,0,0.1,tx,tx2024wxom,2024-11-22T01:03:10.040Z,"57 km S of Whites City, New Mexico",earthquake,0.72111686608741,0.83330837849314,0.1,18,reviewed,tx,tx
2024-11-21T22:07:59.958Z,-58.9352,-25.7844,54.998,4.9,mb,44,86,19.601,0.77,us,us6000p6vm,2024-11-21T22:42:05.040Z,"South Sandwich Islands region",earthquake,13.82,5.604,0.092,37,reviewed,us,us
2024-11-21T21:57:02.630Z,18.4521,-68.56,154,4.09,md,23,225,0.189,0.22,pr,pr2024326002,2024-11-21T22:59:07.153Z,"9 km NNE of Boca de Yuma, Dominican Republic",earthquake,20.07,2.34,0.13,17,reviewed,pr,pr
2024-11-21T20:24:13.710Z,35.991,-117.6891667,4.79,2.55,ml,37,52,0.05329,0.13,ci,ci40797823,2024-11-22T16:07:50.989Z,"20 km ENE of Little Lake, CA",earthquake,0.17,0.26,0.161,26,reviewed,ci,ci
2024-11-21T20:23:04.362Z,43.2541,-126.9671,10,3,ml,14,280,1.688,0.33,us,us6000p6ur,2024-11-21T21:38:44.142Z,"208 km W of Langlois, Oregon",earthquake,10.59,2.024,0.039,88,reviewed,us,us
2024-11-21T20:16:08.476Z,-7.4669,128.5177,158.858,4.4,mb,44,108,3.234,0.68,us,us6000p6uq,2024-11-21T21:25:58.040Z,"204 km NE of Lospalos, Timor Leste",earthquake,9.61,7.792,0.093,33,reviewed,us,us
2024-11-21T19:30:05.593Z,-7.9474,122.9762,234.394,4.6,mb,62,44,1.001,0.67,us,us6000p6u5,2024-11-21T19:50:43.040Z,"112 km NE of Maumere, Indonesia",earthquake,9.24,6.087,0.065,70,reviewed,us,us
2024-11-21T17:46:12.200Z,36.946,-112.36866666667,19.44,2.9,ml,17,103,0.1551,0.26,uu,uu80086931,2024-11-22T15:14:50.976Z,"14 km E of Fredonia, Arizona",earthquake,0.66,0.5,0.067701522785834,16,reviewed,uu,uu
2024-11-21T17:28:22.870Z,31.7853,131.5415,48.007,4.8,mb,69,99,0.969,0.99,us,us6000p6tl,2024-11-21T17:55:11.040Z,"18 km SE of Miyazaki, Japan",earthquake,6.66,7.892,0.063,77,reviewed,us,us
2024-11-21T16:30:54.217Z,43.1968,-126.6474,10,3.2,ml,25,276,1.931,0.86,us,us6000p6si,2024-11-21T17:38:47.482Z,"181 km W of Langlois, Oregon",earthquake,11.06,2.024,0.048,58,reviewed,us,us
2024-11-21T15:39:52.516Z,11.7214,144.1875,39.455,5.2,mww,59,112,1.972,0.82,us,us6000p6s7,2024-11-23T15:49:56.056Z,"178 km SSW of Merizo Village, Guam",earthquake,9.2,6.88,0.139,5,reviewed,us,us
2024-11-21T15:38:57.761Z,28.647,-99.114,8.252,2.9,ml,22,63,0.2,0.1,tx,tx2024wwzp,2024-11-21T16:25:31.040Z,"5 km ESE of Dilley, Texas",earthquake,1.0354034640423,0.99593439284719,0.2,21,reviewed,tx,tx
2024-11-21T15:18:43.530Z,-19.5014,-176.9211,337.758,4.8,mb,35,106,4.636,0.75,us,us6000p6s1,2024-11-21T15:32:02.040Z,"250 km NW of Houma, Tonga",earthquake,11.46,9.296,0.079,50,reviewed,us,us
2024-11-21T14:44:49.153Z,-6.1899,130.3111,122.754,4.4,mb,16,121,1.705,0.78,us,us6000p6ry,2024-11-21T15:39:10.040Z,"277 km WSW of Tual, Indonesia",earthquake,8.82,7.681,0.149,13,reviewed,us,us
2024-11-21T14:30:23.458Z,41.0658,141.1803,55.791,4.6,mb,23,123,1.761,0.98,us,us6000p6ru,2024-11-21T17:16:39.040Z,"6 km WSW of Yokohama, Japan",earthquake,6.02,8.777,0.164,11,reviewed,us,us
2024-11-21T14:17:34.590Z,13.5993,145.3388,84.767,4.7,mb,33,63,0.458,0.76,us,us6000p6rp,2024-11-21T14:34:28.166Z,"49 km E of Yigo Village, Guam",earthquake,9.06,6.657,0.07,62,reviewed,us,us
2024-11-21T13:29:30.463Z,-24.4369,-67.4734,211.672,4.3,mb,23,109,2.055,0.53,us,us6000p6re,2024-11-21T13:54:06.040Z,"119 km WSW of San Antonio de los Cobres, Argentina",earthquake,11.59,12.345,0.218,6,reviewed,us,us
